teamNumber,points2017,points2018,points2019,points2022,epa2017,epa2018,epa2019,epa2022,epa2023,opr2017,opr2018,opr2019,opr2022
2169,44.1326299924642,21,10.008587936629173,20.03448275862069,1743,1743,1743,1743,1743,133.1,95.67,24.93139255014327,40.94046551724137
217,25.007958138013734,29,10.33637000700771,13.0075493612079,1675,1822,1723,1723,1723,88.23,112.94,5.9,40.26336817653891
2194,24.500599585740755,14.54594352308382,8.00937316930287,11.877094563611314,1709,1709,1709,1709,1709,86.44,81.13,32.01746924428822,38.13537112799533
234,35.914874141876425,24.018190086402907,15.14372032801036,43.61763642934585,1582,1737,1728,1569,1636,130.79,132.04,20.64,26.82
2468,28.116916488222696,8.589870013446884,24,20,1535,1623,1728,1740,1865,93.79,47.91,30.93,40.87
2791,10.03363857222949,16.362169430748548,8.018686892983329,28.04624512366155,1610,1758,1758,1758,1758,107.38,91.26,32.054700854700855,44.51339761769711
2832,23.99516080250025,25.211818379317837,16.03150625809236,11.835396162568792,1703,1703,1703,1703,1703,99.17,92.84,21.85,38.001484511981296
3478,10.090637264062792,21.320476638444653,26.416610398379472,11.951289603057281,1633,1821,1654,1654,1654,107.99,97.13,28.98,38.373599033816426
3824,19.346018783176806,14.537432145949188,8.004686584651436,11.870144830104229,1708,1708,1708,1708,1708,124.68,81.08252779403159,31.998734622144116,38.113056691992995
4039,26.946972931431986,20.087748366276585,17.01217067583047,11.776806402251053,1619,1704.5,1747.25,1768.625,1790,116.88,117.98539002932552,23.186587915234824,37.81336255656109
4143,28.134903640256955,12.017182130584192,37.99452133794694,17,1778,1748.5,1733.75,1719,1840,93.85,111.97009450171821,24.64644607843137,46.21
4188,24.290853592063662,8.520395551433225,26.247293366314288,20.035561255720403,1611,1611,1611,1611,1611,85.7,47.52250618811882,28.79425294482331,35.55310344827586
4206,10.11586619323491,16.33424763991109,8.005003126954346,16.985841202282554,1755,1755,1755,1755,1755,108.26,91.1042662116041,32,45.611979463776386
4265,7.906537409893115,13.004210867276703,12.509615384615385,11.890994030625485,1653,1684,1618,1711,1711,79.52,123.53,26.02,38.18
4587,9.004742333227949,17,16.06085455330168,11.793697761526273,1675,1697,1697,1697,1697,94.94,108.7,21.89,37.86759789596728
