teamNumber,points2017,points2018,points2019,points2022,epa2017,epa2018,epa2019,epa2022,epa2023,opr2017,opr2018,opr2019,opr2022
5166,,,,,,,,,1793.0,,,,
3655,,,,,,,,,1783.0,,,,
9312,,,,,,,,,1778.0,,,,
6045,,,,,,,,,1770.0,,,,
4270,,,,,,,,,1765.0,,,,
7890,,,,,,,,,1761.0,,,,
11,,,,,,,,,1749.0,,,,
6081,,,,,,,,,1744.0,,,,
7211,,,,,,,,,1740.0,,,,
818,,,,,,,,,1716.0,,,,
7617,,,,,,,,,1712.0,,,,
5907,,,,,,,,,1708.0,,,,
1561,,,,,,,,,1692.0,,,,
4096,,,,,,,,,1686.0,,,,
226,,,,,,,,,1665.0,,,,
1646,,,,,,,,,1564.0,,,,
